epoch,age_output_loss,age_output_sparse_categorical_accuracy,gender_output_loss,gender_output_sparse_categorical_accuracy,learning_rate,loss,race_output_loss,race_output_sparse_categorical_accuracy,val_age_output_loss,val_age_output_sparse_categorical_accuracy,val_gender_output_loss,val_gender_output_sparse_categorical_accuracy,val_loss,val_race_output_loss,val_race_output_sparse_categorical_accuracy
0,1.74239981174469,0.3634375035762787,0.5374600291252136,0.7083749771118164,0.0010000000474974513,3.4813101291656494,1.1945000886917114,0.5524374842643738,1.6082510948181152,0.4090000092983246,0.4805072546005249,0.7409999966621399,3.1899943351745605,1.0759185552597046,0.5822499990463257
1,1.623263955116272,0.3971875011920929,0.48996827006340027,0.7333124876022339,0.0010000000474974513,3.2041189670562744,1.0844932794570923,0.5866875052452087,1.5783909559249878,0.4074999988079071,0.46536770462989807,0.7390000224113464,3.1227681636810303,1.0542248487472534,0.5932499766349792
2,1.607982873916626,0.4046249985694885,0.47671231627464294,0.7415000200271606,0.0010000000474974513,3.1592235565185547,1.0682233572006226,0.5886250138282776,1.5682257413864136,0.4137499928474426,0.45311373472213745,0.7537500262260437,3.091128349304199,1.0452558994293213,0.5964999794960022
3,1.582175850868225,0.41337499022483826,0.4689573049545288,0.745437502861023,0.0010000000474974513,3.1133768558502197,1.0560303926467896,0.5938125252723694,1.557639718055725,0.4154999852180481,0.44551825523376465,0.7634999752044678,3.0670011043548584,1.0395005941390991,0.5962499976158142
4,1.574355959892273,0.4155625104904175,0.4618430435657501,0.7468125224113464,0.0010000000474974513,3.092637300491333,1.0502668619155884,0.5959374904632568,1.5490937232971191,0.41725000739097595,0.4421967566013336,0.7664999961853027,3.048757791519165,1.0332717895507812,0.5997499823570251
5,1.5689165592193604,0.4181250035762787,0.4605671465396881,0.7506250143051147,0.0010000000474974513,3.0815534591674805,1.045919418334961,0.5972499847412109,1.5532608032226562,0.42100000381469727,0.43977847695350647,0.765749990940094,3.0455267429351807,1.0283170938491821,0.5977500081062317
6,1.5563422441482544,0.4176250100135803,0.4599088430404663,0.7491875290870667,0.0010000000474974513,3.0687918663024902,1.046416163444519,0.6009374856948853,1.5443042516708374,0.4194999933242798,0.43944498896598816,0.768750011920929,3.0341227054595947,1.0262930393218994,0.5995000004768372
7,1.5510412454605103,0.4246250092983246,0.45500651001930237,0.7558125257492065,0.0010000000474974513,3.0508198738098145,1.0386829376220703,0.6004375219345093,1.5373982191085815,0.42225000262260437,0.4370689392089844,0.765500009059906,3.022245168685913,1.0237910747528076,0.6025000214576721
8,1.5472781658172607,0.4268749952316284,0.4546526074409485,0.757437527179718,0.0010000000474974513,3.0413618087768555,1.0333611965179443,0.604687511920929,1.5405980348587036,0.4205000102519989,0.4355711042881012,0.7699999809265137,3.0217442512512207,1.021593689918518,0.6054999828338623
9,1.5418351888656616,0.4268124997615814,0.45263296365737915,0.7540624737739563,0.0010000000474974513,3.0314102172851562,1.0308934450149536,0.6028749942779541,1.538720726966858,0.42250001430511475,0.43822309374809265,0.7642499804496765,3.020914316177368,1.0199946165084839,0.606249988079071
10,1.5323772430419922,0.43024998903274536,0.45345184206962585,0.7559375166893005,0.0010000000474974513,3.0203607082366943,1.028501272201538,0.6044374704360962,1.5380146503448486,0.4202499985694885,0.4348205029964447,0.7639999985694885,3.017385721206665,1.0206036567687988,0.6050000190734863
11,1.5281428098678589,0.43156251311302185,0.449954092502594,0.7586874961853027,0.0010000000474974513,3.006093740463257,1.0219967365264893,0.6054375171661377,1.531844973564148,0.42649999260902405,0.4345252513885498,0.7630000114440918,3.010590076446533,1.0203264951705933,0.6060000061988831
12,1.5295475721359253,0.43162500858306885,0.44799426198005676,0.7578750252723694,0.0010000000474974513,3.0092854499816895,1.025736689567566,0.6056874990463257,1.5322257280349731,0.42375001311302185,0.4345991015434265,0.765500009059906,3.005901336669922,1.015218734741211,0.6037499904632568
