epoch,age_output_loss,age_output_sparse_categorical_accuracy,gender_output_binary_accuracy,gender_output_loss,learning_rate,loss,race_output_loss,race_output_sparse_categorical_accuracy,val_age_output_loss,val_age_output_sparse_categorical_accuracy,val_gender_output_binary_accuracy,val_gender_output_loss,val_loss,val_race_output_loss,val_race_output_sparse_categorical_accuracy
0,1.3614834547042847,0.4445333480834961,0.8387333154678345,0.3708963394165039,0.0010000000474974513,2.953885793685913,1.2180477380752563,0.5475666522979736,1.183266043663025,0.5130000114440918,0.8693333268165588,0.30712348222732544,2.5309882164001465,1.0266720056533813,0.6051666736602783
1,1.247771143913269,0.482366681098938,0.8604999780654907,0.31510940194129944,0.0010000000474974513,2.694249153137207,1.1285324096679688,0.5699999928474426,1.177152395248413,0.5206666588783264,0.8763333559036255,0.28884702920913696,2.490649700164795,1.0111167430877686,0.6108333468437195
2,1.2271045446395874,0.49070000648498535,0.8644999861717224,0.3035552203655243,0.0010000000474974513,2.648893117904663,1.1153019666671753,0.5756666660308838,1.1627918481826782,0.515333354473114,0.8799999952316284,0.2804190516471863,2.458707809448242,1.002021074295044,0.6161666512489319
3,1.2183794975280762,0.4959000051021576,0.8667666912078857,0.299094021320343,0.0010000000474974513,2.6272544860839844,1.1070308685302734,0.5837666392326355,1.1512588262557983,0.5208333134651184,0.8784999847412109,0.27578118443489075,2.435425281524658,0.9949676394462585,0.6144999861717224
4,1.2129967212677002,0.49513334035873413,0.8675666451454163,0.2968738079071045,0.0010000000474974513,2.6167080402374268,1.1038715839385986,0.5814999938011169,1.1561423540115356,0.5161666870117188,0.8821666836738586,0.27242931723594666,2.433336019515991,0.9911314845085144,0.6205000281333923
5,1.206087350845337,0.49736666679382324,0.8715333342552185,0.2922649383544922,0.0010000000474974513,2.5982463359832764,1.097226858139038,0.5846333503723145,1.1430435180664062,0.5228333473205566,0.8798333406448364,0.2716635465621948,2.4225001335144043,0.9942715764045715,0.6168333292007446
6,1.2049530744552612,0.4972333312034607,0.8715333342552185,0.288979172706604,0.0010000000474974513,2.5946669578552246,1.097895860671997,0.5844666957855225,1.1368709802627563,0.5270000100135803,0.8805000185966492,0.27018558979034424,2.40928316116333,0.9892449975013733,0.6193333268165588
7,1.196812629699707,0.5004333257675171,0.8707000017166138,0.2909008264541626,0.0010000000474974513,2.585087537765503,1.0944854021072388,0.5820333361625671,1.1456042528152466,0.5216666460037231,0.8834999799728394,0.2698032259941101,2.4237499237060547,0.9949702620506287,0.6148333549499512
8,1.1916581392288208,0.5020333528518677,0.8731666803359985,0.2900140881538391,0.0010000000474974513,2.5837347507476807,1.0995279550552368,0.584933340549469,1.1463251113891602,0.5231666564941406,0.8823333382606506,0.2669411599636078,2.4136087894439697,0.9871028661727905,0.6209999918937683
9,1.1877121925354004,0.5048333406448364,0.8736000061035156,0.2859971225261688,0.0010000000474974513,2.566028594970703,1.0896062850952148,0.5896000266075134,1.139721155166626,0.5224999785423279,0.8808333277702332,0.2683161497116089,2.410841226577759,0.9895310401916504,0.6198333501815796
10,1.1838096380233765,0.5047333240509033,0.8742666840553284,0.2863948345184326,0.0010000000474974513,2.5628244876861572,1.0896714925765991,0.5857333540916443,1.13584566116333,0.5263333320617676,0.8831666707992554,0.2664159834384918,2.4047439098358154,0.9895067811012268,0.6175000071525574
11,1.1829142570495605,0.5098000168800354,0.8744333386421204,0.28580325841903687,0.0010000000474974513,2.5640015602111816,1.0923852920532227,0.5849666595458984,1.1385716199874878,0.5258333086967468,0.8824999928474426,0.26909998059272766,2.4064202308654785,0.9855638146400452,0.6225000023841858
12,1.1827785968780518,0.5089666843414307,0.8730999827384949,0.2817866802215576,0.0010000000474974513,2.554237127304077,1.087210774421692,0.5849666595458984,1.1397521495819092,0.5238333344459534,0.8859999775886536,0.2649701237678528,2.40574049949646,0.9878337979316711,0.6196666955947876
